employee_id,employee_number,employee_name,org_path,department,job_code,job_title,job_family,employment_status,home_org_path,hourly_rate
E100021,100021,Dr. Theresa Brewer,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,PT,HHS/TX/FacilityA/Nursing,28.11
E100022,100022,Kyle Brooks,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,PT,HHS/TX/FacilityA/Nursing,37.19
E100023,100023,Andres Coleman,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,PRN,HHS/TX/FacilityA/Nursing,54.62
E100024,100024,Amy Meyer,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,PRN,HHS/TX/FacilityA/Nursing,19.17
E100025,100025,Brittany Reese,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,PRN,HHS/TX/FacilityA/Nursing,49.6
E100026,100026,Sylvia Cruz,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,FT,HHS/TX/FacilityA/Nursing,45.61
E100027,100027,Janet Richard,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,PRN,HHS/TX/FacilityA/Nursing,32.24
E100028,100028,Nancy Hansen,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,PT,HHS/TX/FacilityA/Nursing,32.38
E100029,100029,Samantha Hess,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,FT,HHS/TX/FacilityA/Nursing,45.27
E100030,100030,Jack Pierce,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,PRN,HHS/TX/FacilityA/Nursing,48.07
E100031,100031,Megan Foster,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,FT,HHS/TX/FacilityA/Nursing,31.43
E100032,100032,Sheena Jenkins,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,PT,HHS/TX/FacilityA/Nursing,36.62
E100033,100033,Adam Howard,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,PT,HHS/TX/FacilityA/Nursing,36.8
E100034,100034,Thomas Boyd,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,FT,HHS/TX/FacilityA/Nursing,37.75
E100035,100035,Mr. Keith Lopez,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,FT,HHS/TX/FacilityA/Nursing,51.99
E100036,100036,Nichole Humphrey,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,PT,HHS/TX/FacilityA/Nursing,30.65
E100037,100037,Matthew Martinez,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,FT,HHS/TX/FacilityA/Nursing,43.37
E100038,100038,Amber Dorsey,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,PRN,HHS/TX/FacilityA/Nursing,42.03
E100039,100039,Yvonne Jenkins,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,PRN,HHS/TX/FacilityA/Nursing,32.27
E100040,100040,Garrett Foster,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,PT,HHS/TX/FacilityA/Nursing,33.25
E100041,100041,Evelyn Terry,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,FT,HHS/TX/FacilityA/Nursing,30.11
E100042,100042,Mark Sparks,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,PT,HHS/TX/FacilityA/Nursing,53.68
E100043,100043,Stephanie Walker,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,FT,HHS/TX/FacilityA/Nursing,43.79
E100044,100044,Norma Gonzales,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,PRN,HHS/TX/FacilityA/Nursing,21.32
E100045,100045,Melissa Ross,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,FT,HHS/TX/FacilityA/Nursing,51.73
E100046,100046,Melissa Mccarthy,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,PRN,HHS/TX/FacilityA/Nursing,32.57
E100047,100047,Justin Holland,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,FT,HHS/TX/FacilityA/Nursing,43.82
E100048,100048,Jonathan Tyler,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,PRN,HHS/TX/FacilityA/Nursing,38.87
E100049,100049,Justin Ward,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,PRN,HHS/TX/FacilityA/Nursing,18.29
E100050,100050,Deanna Hutchinson,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,PRN,HHS/TX/FacilityA/Nursing,38.72
E100051,100051,Brian Johnson,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,FT,HHS/TX/FacilityA/Nursing,38.54
E100052,100052,Brandon Lynch,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,PT,HHS/TX/FacilityA/Nursing,50.39
E100053,100053,Mrs. Susan Williams,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,PT,HHS/TX/FacilityA/Nursing,22.29
E100054,100054,Paul Wilson,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,PT,HHS/TX/FacilityA/Nursing,25.9
E100055,100055,Jennifer Mueller,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,PT,HHS/TX/FacilityA/Nursing,40.54
E100056,100056,Lisa Bailey,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,PRN,HHS/TX/FacilityA/Nursing,51.62
E100057,100057,Patricia Mcdaniel,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,FT,HHS/TX/FacilityA/Nursing,42.97
E100058,100058,Kristin Crane,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,FT,HHS/TX/FacilityA/Nursing,43.32
E100059,100059,Joshua Wilson,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,PRN,HHS/TX/FacilityA/Nursing,47.01
E100060,100060,Taylor Thomas,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,PRN,HHS/TX/FacilityA/Nursing,51.48
E100061,100061,Joyce Gonzales,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,PRN,HHS/TX/FacilityA/Nursing,46.53
E100062,100062,Jerry Brown,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,PRN,HHS/TX/FacilityA/Nursing,44.09
E100063,100063,James Ramirez,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,PRN,HHS/TX/FacilityA/Nursing,38.05
E100064,100064,Blake Williams,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,PRN,HHS/TX/FacilityA/Nursing,53.09
E100065,100065,Jesse Gregory,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,FT,HHS/TX/FacilityA/Nursing,19.47
E100066,100066,Christine Johnson,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,PRN,HHS/TX/FacilityA/Nursing,34.27
E100067,100067,Michael Lawson,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,PRN,HHS/TX/FacilityA/Nursing,34.68
E100068,100068,Jennifer Russell,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,FT,HHS/TX/FacilityA/Nursing,27.5
E100069,100069,Brian Browning,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,PT,HHS/TX/FacilityA/Nursing,28.57
E100070,100070,Victor Martinez,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,FT,HHS/TX/FacilityA/EVS,15.89
E100071,100071,Jennifer Hodges,HHS/TX/FacilityA/EVS,EVS,LEAD,EVS Lead,EVS,PRN,HHS/TX/FacilityA/EVS,24.05
E100072,100072,Andrew Wilson,HHS/TX/FacilityA/EVS,EVS,LEAD,EVS Lead,EVS,FT,HHS/TX/FacilityA/EVS,23.7
E100073,100073,Mrs. Patricia Davis,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,PT,HHS/TX/FacilityA/EVS,29.24
E100074,100074,Erik Bryant,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,PT,HHS/TX/FacilityA/EVS,17.91
E100075,100075,Rachel Howell,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,PT,HHS/TX/FacilityA/EVS,29.81
E100076,100076,Annette Mays,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,FT,HHS/TX/FacilityA/EVS,34.25
E100077,100077,Charles Bass,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,PRN,HHS/TX/FacilityA/EVS,27.95
E100078,100078,David Nelson,HHS/TX/FacilityA/EVS,EVS,LEAD,EVS Lead,EVS,PT,HHS/TX/FacilityA/EVS,30.21
E100079,100079,Melissa Alvarez,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,FT,HHS/TX/FacilityA/EVS,16.44
E100080,100080,Lisa Ortega,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,FT,HHS/TX/FacilityA/EVS,30.41
E100081,100081,Brittany Smith,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,FT,HHS/TX/FacilityA/EVS,22.72
E100082,100082,Derrick Sandoval,HHS/TX/FacilityA/EVS,EVS,LEAD,EVS Lead,EVS,PT,HHS/TX/FacilityA/EVS,24.13
E100083,100083,Dennis Bell,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,FT,HHS/TX/FacilityA/EVS,16.97
E100084,100084,Brian Mcmillan,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,FT,HHS/TX/FacilityA/EVS,15.13
E100085,100085,Joseph Flores,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,PRN,HHS/TX/FacilityA/EVS,19.16
E100086,100086,Alison Brock,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,PT,HHS/TX/FacilityA/EVS,34.53
E100087,100087,Brandy Freeman,HHS/TX/FacilityA/EVS,EVS,LEAD,EVS Lead,EVS,PRN,HHS/TX/FacilityA/EVS,23.95
E100088,100088,Yvette Lopez,HHS/TX/FacilityA/EVS,EVS,LEAD,EVS Lead,EVS,PRN,HHS/TX/FacilityA/EVS,15.6
E100089,100089,Robert Doyle,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,PRN,HHS/TX/FacilityA/EVS,23.04
E100090,100090,Nicole Ramsey,HHS/TX/FacilityA/EVS,EVS,LEAD,EVS Lead,EVS,PRN,HHS/TX/FacilityA/EVS,28.15
E100091,100091,Sara Boone,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,PRN,HHS/TX/FacilityA/EVS,20.27
E100092,100092,Monique Allen,HHS/TX/FacilityA/EVS,EVS,LEAD,EVS Lead,EVS,PT,HHS/TX/FacilityA/EVS,17.63
E100093,100093,Maria Pace,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,PRN,HHS/TX/FacilityA/EVS,33.78
E100094,100094,Rodney Johnson,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,PT,HHS/TX/FacilityA/EVS,25.4
E100095,100095,Michael Huynh,HHS/TX/FacilityA/EVS,EVS,LEAD,EVS Lead,EVS,PT,HHS/TX/FacilityA/EVS,15.43
E100096,100096,Patrick Matthews,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,FT,HHS/TX/FacilityA/EVS,24.19
E100097,100097,Randy Watson,HHS/TX/FacilityA/EVS,EVS,LEAD,EVS Lead,EVS,PRN,HHS/TX/FacilityA/EVS,23.18
E100098,100098,Mrs. Vanessa Brown,HHS/TX/FacilityA/EVS,EVS,LEAD,EVS Lead,EVS,FT,HHS/TX/FacilityA/EVS,18.95
E100099,100099,Mrs. Jessica Elliott,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,PRN,HHS/TX/FacilityA/EVS,19.42
E100100,100100,Karen Santos,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,PRN,HHS/TX/FacilityA/EVS,29.49
E100101,100101,Christopher Butler,HHS/TX/FacilityA/EVS,EVS,LEAD,EVS Lead,EVS,FT,HHS/TX/FacilityA/EVS,33.73
E100102,100102,Christopher Thomas,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,FT,HHS/TX/FacilityA/EVS,18.91
E100103,100103,Belinda Kelly,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,PT,HHS/TX/FacilityA/EVS,16.06
E100104,100104,Lori Martinez,HHS/TX/FacilityA/EVS,EVS,LEAD,EVS Lead,EVS,FT,HHS/TX/FacilityA/EVS,22.47
E100105,100105,Dawn Cantu,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,FT,HHS/TX/FacilityA/EVS,17.38
E100106,100106,Martin Horton,HHS/TX/FacilityA/EVS,EVS,LEAD,EVS Lead,EVS,PRN,HHS/TX/FacilityA/EVS,27.07
E100107,100107,Tammy Pearson,HHS/TX/FacilityA/EVS,EVS,LEAD,EVS Lead,EVS,PT,HHS/TX/FacilityA/EVS,22.44
E100108,100108,Heather Clark,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,FT,HHS/TX/FacilityA/EVS,34.56
E100109,100109,Christopher Nelson,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,PRN,HHS/TX/FacilityA/EVS,20.41
E100110,100110,Guy Hernandez,HHS/TX/FacilityA/EVS,EVS,LEAD,EVS Lead,EVS,FT,HHS/TX/FacilityA/EVS,26.27
E100111,100111,Steven Carter,HHS/TX/FacilityA/EVS,EVS,LEAD,EVS Lead,EVS,PRN,HHS/TX/FacilityA/EVS,32.4
E100112,100112,Maria Moreno,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,PRN,HHS/TX/FacilityA/EVS,23.34
E100113,100113,Mary Taylor,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,FT,HHS/TX/FacilityA/EVS,16.93
E100114,100114,Stephanie Gray,HHS/TX/FacilityA/EVS,EVS,LEAD,EVS Lead,EVS,PRN,HHS/TX/FacilityA/EVS,26.25
E100115,100115,Kevin Dawson,HHS/TX/FacilityA/EVS,EVS,LEAD,EVS Lead,EVS,FT,HHS/TX/FacilityA/EVS,32.9
E100116,100116,Robert Sanders,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,FT,HHS/TX/FacilityA/EVS,19.89
E100117,100117,Jonathan Black,HHS/TX/FacilityA/EVS,EVS,LEAD,EVS Lead,EVS,PRN,HHS/TX/FacilityA/EVS,33.65
E100118,100118,Jeffrey Rogers,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,PRN,HHS/TX/FacilityA/EVS,17.29
E100119,100119,Kathryn Fuentes,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,FT,HHS/TX/FacilityA/EVS,28.03
E100120,100120,Richard Wilkins,HHS/TX/FacilityA/EVS,EVS,LEAD,EVS Lead,EVS,PT,HHS/TX/FacilityA/EVS,26.66
E100121,100121,Andrea Logan,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,FT,HHS/TX/FacilityA/EVS,21.4
E100122,100122,Christian Richards,HHS/TX/FacilityA/EVS,EVS,LEAD,EVS Lead,EVS,PT,HHS/TX/FacilityA/EVS,20.56
E100123,100123,Misty Hawkins,HHS/TX/FacilityA/EVS,EVS,LEAD,EVS Lead,EVS,PRN,HHS/TX/FacilityA/EVS,18.05
E100124,100124,Matthew Castaneda,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,FT,HHS/TX/FacilityA/EVS,33.03
E100125,100125,Julie Nicholson,HHS/TX/FacilityA/EVS,EVS,LEAD,EVS Lead,EVS,PRN,HHS/TX/FacilityA/EVS,32.9
E100126,100126,Tiffany Perry,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,PRN,HHS/TX/FacilityA/EVS,32.29
E100127,100127,James Roberts,HHS/TX/FacilityA/EVS,EVS,LEAD,EVS Lead,EVS,PRN,HHS/TX/FacilityA/EVS,18.57
E100128,100128,Gina Smith,HHS/TX/FacilityA/EVS,EVS,LEAD,EVS Lead,EVS,PT,HHS/TX/FacilityA/EVS,17.02
E100129,100129,Karen Burns,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,PRN,HHS/TX/FacilityA/EVS,34.17
E100130,100130,Holly Cordova DDS,HHS/TX/FacilityA/EVS,EVS,LEAD,EVS Lead,EVS,FT,HHS/TX/FacilityA/EVS,22.93
E100131,100131,Mary Burke,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,FT,HHS/TX/FacilityA/EVS,24.98
E100132,100132,Rebecca Carrillo,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,PRN,HHS/TX/FacilityA/EVS,23.7
E100133,100133,Joy Gomez,HHS/TX/FacilityA/EVS,EVS,LEAD,EVS Lead,EVS,PRN,HHS/TX/FacilityA/EVS,18.14
E100134,100134,Tammy Hudson,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,PRN,HHS/TX/FacilityA/EVS,30.74
E100135,100135,Kirsten Anderson,HHS/TX/FacilityA/EVS,EVS,LEAD,EVS Lead,EVS,PRN,HHS/TX/FacilityA/EVS,29.96
E100136,100136,Mr. Steven Stephens,HHS/TX/FacilityA/EVS,EVS,EVS,Environmental Services Tech,EVS,FT,HHS/TX/FacilityA/EVS,29.81
E100137,100137,Larry Williams,HHS/TX/FacilityA/EVS,EVS,LEAD,EVS Lead,EVS,PRN,HHS/TX/FacilityA/EVS,25.38
E100138,100138,Heather Schneider,HHS/TX/FacilityA/EVS,EVS,LEAD,EVS Lead,EVS,PRN,HHS/TX/FacilityA/EVS,34.45
E100139,100139,Danielle Stokes,HHS/TX/FacilityA/EVS,EVS,LEAD,EVS Lead,EVS,PRN,HHS/TX/FacilityA/EVS,25.36
E100140,100140,Rachel Levine,HHS/TX/FacilityA/HR,HR,HRBP,HR Business Partner,HR,PT,HHS/TX/FacilityA/HR,22.78
E100141,100141,Ryan Cook,HHS/TX/FacilityA/HR,HR,HRBP,HR Business Partner,HR,PT,HHS/TX/FacilityA/HR,17.52
E100142,100142,Carol Cobb,HHS/TX/FacilityA/HR,HR,RECR,Recruiter,HR,PT,HHS/TX/FacilityA/HR,16.32
E100143,100143,Kevin Roach,HHS/TX/FacilityA/HR,HR,RECR,Recruiter,HR,PRN,HHS/TX/FacilityA/HR,24.68
E100144,100144,Timothy Martinez,HHS/TX/FacilityA/HR,HR,HRBP,HR Business Partner,HR,FT,HHS/TX/FacilityA/HR,22.32
E100145,100145,Joshua Freeman,HHS/TX/FacilityA/HR,HR,RECR,Recruiter,HR,PRN,HHS/TX/FacilityA/HR,19.77
E100146,100146,Emily Hill,HHS/TX/FacilityA/HR,HR,HRBP,HR Business Partner,HR,PRN,HHS/TX/FacilityA/HR,29.9
E100147,100147,William Contreras,HHS/TX/FacilityA/HR,HR,HRBP,HR Business Partner,HR,PRN,HHS/TX/FacilityA/HR,34.64
E100148,100148,Thomas George,HHS/TX/FacilityA/HR,HR,HRBP,HR Business Partner,HR,FT,HHS/TX/FacilityA/HR,25.87
E100149,100149,Lisa Brown,HHS/TX/FacilityA/HR,HR,HRBP,HR Business Partner,HR,PRN,HHS/TX/FacilityA/HR,32.04
E100150,100150,Jordan Gilbert,HHS/TX/FacilityA/HR,HR,HRBP,HR Business Partner,HR,FT,HHS/TX/FacilityA/HR,21.91
E100151,100151,Evan Ruiz,HHS/TX/FacilityA/HR,HR,RECR,Recruiter,HR,PRN,HHS/TX/FacilityA/HR,32.84
E100152,100152,Tammy Lee,HHS/TX/FacilityA/HR,HR,HRBP,HR Business Partner,HR,PT,HHS/TX/FacilityA/HR,27.1
E100153,100153,Megan Stewart,HHS/TX/FacilityA/HR,HR,RECR,Recruiter,HR,FT,HHS/TX/FacilityA/HR,25.27
E100154,100154,Jeffery Conner,HHS/TX/FacilityA/HR,HR,HRBP,HR Business Partner,HR,PRN,HHS/TX/FacilityA/HR,32.43
E100155,100155,Jennifer Mills,HHS/TX/FacilityA/HR,HR,RECR,Recruiter,HR,FT,HHS/TX/FacilityA/HR,33.91
E100156,100156,Jeffrey Stewart,HHS/TX/FacilityA/HR,HR,RECR,Recruiter,HR,PT,HHS/TX/FacilityA/HR,34.55
E100157,100157,Justin Rivera,HHS/TX/FacilityA/HR,HR,HRBP,HR Business Partner,HR,FT,HHS/TX/FacilityA/HR,31.87
E100158,100158,Kelly Rose,HHS/TX/FacilityA/HR,HR,HRBP,HR Business Partner,HR,FT,HHS/TX/FacilityA/HR,18.32
E100159,100159,Timothy Davidson,HHS/TX/FacilityA/HR,HR,HRBP,HR Business Partner,HR,PT,HHS/TX/FacilityA/HR,34.78
E100160,100160,Lucas Massey,HHS/TX/FacilityA/HR,HR,HRBP,HR Business Partner,HR,PRN,HHS/TX/FacilityA/HR,33.67
E100161,100161,Pamela Martinez,HHS/TX/FacilityA/HR,HR,RECR,Recruiter,HR,PT,HHS/TX/FacilityA/HR,19.44
E100162,100162,Andrea Wallace MD,HHS/TX/FacilityA/HR,HR,HRBP,HR Business Partner,HR,PT,HHS/TX/FacilityA/HR,28.31
E100163,100163,Amy Rogers,HHS/TX/FacilityA/HR,HR,HRBP,HR Business Partner,HR,FT,HHS/TX/FacilityA/HR,20.51
E100164,100164,Patricia Harrison,HHS/TX/FacilityA/HR,HR,HRBP,HR Business Partner,HR,PRN,HHS/TX/FacilityA/HR,34.63
E100165,100165,Alex Kent,HHS/TX/FacilityA/HR,HR,RECR,Recruiter,HR,PRN,HHS/TX/FacilityA/HR,33.39
E100166,100166,Daniel Bailey,HHS/TX/FacilityA/HR,HR,HRBP,HR Business Partner,HR,PRN,HHS/TX/FacilityA/HR,28.26
E100167,100167,Daniel Vaughn,HHS/TX/FacilityA/HR,HR,RECR,Recruiter,HR,FT,HHS/TX/FacilityA/HR,26.21
E100168,100168,Jessica Brown,HHS/TX/FacilityA/HR,HR,HRBP,HR Business Partner,HR,PRN,HHS/TX/FacilityA/HR,20.85
E100169,100169,Daniel Smith,HHS/TX/FacilityA/HR,HR,HRBP,HR Business Partner,HR,FT,HHS/TX/FacilityA/HR,24.43
E100170,100170,Lisa Morris,HHS/TX/FacilityA/HR,HR,RECR,Recruiter,HR,PT,HHS/TX/FacilityA/HR,18.86
E100171,100171,Alexander Sanchez,HHS/TX/FacilityA/HR,HR,RECR,Recruiter,HR,PRN,HHS/TX/FacilityA/HR,28.9
E100172,100172,Tammy Zuniga,HHS/TX/FacilityA/HR,HR,HRBP,HR Business Partner,HR,PRN,HHS/TX/FacilityA/HR,23.51
E100173,100173,Heather Levine,HHS/TX/FacilityA/HR,HR,RECR,Recruiter,HR,PT,HHS/TX/FacilityA/HR,28.07
E100174,100174,Todd Zhang,HHS/TX/FacilityA/HR,HR,RECR,Recruiter,HR,PRN,HHS/TX/FacilityA/HR,23.77
E100175,100175,Joseph Baxter,HHS/TX/FacilityA/HR,HR,HRBP,HR Business Partner,HR,PT,HHS/TX/FacilityA/HR,25.17
E100176,100176,Angela Michael,HHS/TX/FacilityA/HR,HR,HRBP,HR Business Partner,HR,PRN,HHS/TX/FacilityA/HR,30.65
